lstm, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1130.040642
gmdhg, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.044417
gmdhg, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1216.409131
rbfg, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.048049
rbfg, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1293.235486
cnnc, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.037300
cnnc, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 952.933093
kgate, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.035825
kgate, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 961.504324
relu, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.039039
relu, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1095.931955
ann, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.037046
ann, trainN nasdaq0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 963.978338

ann, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.049804
ann, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1060.834950
relu, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.049425
